,customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges_Monthly,account_Charges_Total
26,0036-ihmot,0,f,0,1,1,55,1,0,fiber optic,0,1,1,1,1,1,one year,1,bank transfer (automatic),103.7,5656.75
27,0040-halcw,0,m,0,1,1,54,1,0,no,0,0,0,0,0,0,two year,0,credit card (automatic),20.4,1090.6
28,0042-jvwoj,0,m,0,0,0,26,1,0,no,0,0,0,0,0,0,one year,1,bank transfer (automatic),19.6,471.85
29,0042-rlhyp,0,f,0,1,1,69,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),19.7,1396.9
30,0047-zhdtw,,f,0,0,0,11,1,1,fiber optic,1,0,0,0,0,0,month,1,bank transfer (automatic),79.0,929.3
31,0048-lumls,0,m,0,1,1,37,1,0,fiber optic,0,0,0,0,1,1,one year,0,credit card (automatic),91.2,3247.55
32,0048-pihnl,0,f,0,1,0,49,1,0,no,0,0,0,0,0,0,one year,0,bank transfer (automatic),20.45,900.9
33,0052-dckon,0,m,0,1,0,66,1,1,fiber optic,1,1,1,1,1,1,one year,0,bank transfer (automatic),115.8,7942.15
34,0052-ynyot,0,f,0,0,0,67,1,0,no,0,0,0,0,0,0,one year,0,electronic check,20.55,1343.4
35,0056-epfbg,0,m,0,1,1,20,0,0,dsl,1,0,1,1,0,0,two year,1,credit card (automatic),39.4,825.4
36,0057-qbuqh,0,f,0,0,1,43,1,1,no,0,0,0,0,0,0,two year,1,electronic check,25.1,1070.15
37,0058-evzwm,0,f,0,1,0,55,1,1,fiber optic,1,0,0,0,1,0,month,1,bank transfer (automatic),89.8,4959.6
38,0060-fualy,0,f,0,1,0,59,1,1,fiber optic,1,1,0,0,1,0,month,1,electronic check,94.75,5597.65
39,0064-sudog,0,f,0,1,1,12,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),20.3,224.5
40,0064-yijgf,0,m,0,1,1,27,1,1,fiber optic,0,0,0,0,0,0,month,1,bank transfer (automatic),75.75,1929.0
41,0067-dkwbl,1,m,1,0,0,2,1,0,dsl,1,0,0,0,0,0,month,1,electronic check,49.25,91.1
42,0068-figtf,0,f,0,0,0,27,1,0,dsl,0,1,1,1,1,1,one year,0,mailed check,78.2,2078.95
43,0071-ndafp,0,m,0,1,1,25,1,1,no,0,0,0,0,0,0,two year,0,credit card (automatic),25.5,630.6
44,0074-hdkdg,0,m,0,1,1,25,1,0,dsl,1,1,1,0,0,0,one year,1,bank transfer (automatic),61.6,1611.0
45,0076-lveps,0,m,0,0,1,29,0,0,dsl,1,1,1,1,0,0,month,1,mailed check,45.0,1242.45
46,0078-xzmht,0,m,0,1,0,72,1,1,dsl,0,1,1,1,1,1,two year,1,bank transfer (automatic),85.15,6316.2
47,0080-emyvy,0,f,0,0,0,14,1,0,dsl,0,1,0,0,0,0,one year,0,credit card (automatic),51.45,727.85
48,0080-orozo,0,f,0,0,0,35,1,0,fiber optic,0,0,1,1,1,1,one year,1,electronic check,99.25,3532.0
49,0082-ldzue,0,m,0,0,0,1,1,0,dsl,0,0,0,0,0,0,month,1,mailed check,44.3,44.3
50,0082-oqiqy,0,m,0,0,0,29,1,0,fiber optic,0,0,0,1,1,1,month,1,electronic check,94.2,2607.6
51,0083-pivik,0,m,0,0,0,64,1,1,dsl,1,1,1,1,1,0,one year,0,electronic check,81.25,5567.55
52,0089-iiqko,0,f,0,1,1,39,1,1,fiber optic,0,0,0,1,1,1,month,1,credit card (automatic),99.95,3767.4
53,0093-exyql,0,f,1,0,0,40,1,0,fiber optic,0,0,0,0,1,1,month,1,electronic check,91.55,3673.6
54,0093-xwzfy,1,m,0,0,0,40,1,1,fiber optic,0,1,1,0,1,1,month,1,credit card (automatic),104.5,4036.85
55,0094-oifmo,1,f,1,0,0,11,1,0,fiber optic,0,1,0,0,1,1,month,1,electronic check,95.0,1120.3
56,0096-bxers,0,f,0,1,0,6,1,1,dsl,0,0,0,0,0,0,month,0,electronic check,50.35,314.55
57,0096-fcpuf,0,m,0,0,0,30,1,1,dsl,1,0,0,0,0,1,month,1,mailed check,64.5,1888.45
58,0098-bowso,0,m,0,0,0,27,1,0,no,0,0,0,0,0,0,month,1,electronic check,19.4,529.8
59,0100-duvfc,0,m,1,1,0,70,1,1,fiber optic,0,1,1,0,1,1,one year,1,electronic check,104.8,7308.95
60,0103-csitq,0,f,0,1,0,57,1,1,fiber optic,0,1,1,1,1,1,one year,1,bank transfer (automatic),109.4,6252.7
61,0104-ppxdv,0,m,0,1,0,58,1,0,dsl,0,0,1,0,0,0,one year,0,credit card (automatic),50.3,2878.55
62,0106-ghrqr,0,m,0,0,0,16,1,1,dsl,0,1,1,0,0,1,month,1,bank transfer (automatic),71.4,1212.1
63,0106-ugrdo,0,f,0,1,0,69,1,1,fiber optic,1,1,1,1,1,1,two year,1,electronic check,116.0,8182.85
64,0107-weslm,1,m,0,0,0,1,1,0,no,0,0,0,0,0,0,month,1,electronic check,19.85,19.85
65,0107-yhina,1,m,0,0,1,1,1,1,fiber optic,0,0,1,0,1,1,month,1,electronic check,99.75,99.75
66,0111-klbqg,0,m,1,1,1,32,1,0,fiber optic,0,1,0,0,1,1,month,1,mailed check,93.95,2861.45
67,0112-qawrz,0,m,0,1,1,16,1,1,fiber optic,0,0,1,0,1,0,month,1,bank transfer (automatic),90.8,1442.2
68,0112-qwpnc,1,m,0,1,0,49,1,1,dsl,1,0,1,1,1,1,one year,0,electronic check,84.35,4059.35
69,0114-igabw,0,f,0,1,0,71,0,0,dsl,0,1,1,1,1,1,two year,0,bank transfer (automatic),58.25,4145.9
70,0114-pegzz,0,f,0,0,0,33,1,1,fiber optic,0,1,1,0,1,1,month,0,electronic check,107.55,3645.5
71,0114-rsrrw,0,f,0,1,0,10,1,0,no,0,0,0,0,0,0,month,1,bank transfer (automatic),19.95,187.75
72,0115-tfert,1,m,0,1,0,21,1,1,fiber optic,0,1,1,1,1,1,month,1,electronic check,111.2,2317.1
73,0117-lfrmw,1,m,0,1,1,37,0,0,dsl,1,1,1,0,0,0,month,0,bank transfer (automatic),40.2,1448.8
74,0118-jpnoy,0,f,1,0,0,26,1,0,fiber optic,1,0,0,0,1,0,month,1,credit card (automatic),85.8,2193.65
75,0120-yzlqa,,m,0,0,0,71,1,0,no,0,0,0,0,0,0,two year,1,credit card (automatic),19.9,1355.1
76,0121-snyrk,0,m,0,0,0,50,0,0,dsl,1,0,0,1,0,0,one year,1,mailed check,35.4,1748.9
77,0122-oahpz,1,f,0,0,0,7,1,1,fiber optic,0,0,0,0,0,0,month,1,electronic check,73.85,511.25
78,0123-crbrt,0,f,0,1,1,61,1,1,dsl,1,1,1,1,1,1,two year,0,mailed check,88.1,5526.75
79,0125-lzqxk,1,m,0,0,0,15,1,0,fiber optic,0,0,1,1,1,1,month,1,electronic check,101.35,1553.95
80,0128-mkwsg,0,f,0,0,1,26,0,0,dsl,1,0,0,1,0,1,month,0,mailed check,45.8,1147.0
81,0129-kptwj,0,m,0,1,0,72,1,0,fiber optic,0,0,1,0,1,1,month,1,electronic check,94.65,6747.35
82,0129-qmpdr,0,m,0,1,1,44,1,0,no,0,0,0,0,0,0,one year,1,bank transfer (automatic),20.5,865.05
83,0130-sxoun,0,m,0,0,0,66,1,1,fiber optic,0,1,0,0,0,1,month,0,credit card (automatic),89.4,5976.9
84,0133-bmfzo,1,f,0,0,0,2,1,0,fiber optic,1,1,0,1,0,0,month,1,electronic check,86.25,181.65
85,0134-xwxce,0,f,1,0,0,44,1,0,dsl,0,0,1,1,1,1,one year,0,bank transfer (automatic),74.85,3268.05
86,0135-nmxap,1,f,0,0,0,12,1,1,fiber optic,0,1,0,0,1,0,month,1,bank transfer (automatic),89.75,1052.4
87,0136-ifmyd,0,m,1,1,0,69,1,1,fiber optic,0,1,1,1,1,1,two year,1,electronic check,109.95,7634.25
88,0137-ocgab,1,f,0,0,0,1,1,1,fiber optic,0,1,0,0,0,0,month,1,mailed check,80.2,80.2
89,0137-udeuo,1,f,0,0,0,3,1,0,no,0,0,0,0,0,0,month,0,mailed check,19.85,63.75
90,0139-ivfjg,0,f,0,1,0,2,1,0,fiber optic,1,1,0,0,1,0,month,0,electronic check,90.35,190.5
91,0141-yeays,0,f,1,0,0,27,1,1,fiber optic,0,1,1,0,0,0,month,1,bank transfer (automatic),86.45,2401.05
92,0142-gvysn,0,m,0,0,0,26,1,0,no,0,0,0,0,0,0,month,1,electronic check,20.3,511.25
93,0147-eswwr,0,f,1,1,0,39,1,1,fiber optic,0,0,0,1,1,1,month,1,electronic check,101.25,3949.15
94,0148-dcdos,1,m,0,0,0,25,1,1,fiber optic,0,0,0,0,1,1,month,1,bank transfer (automatic),94.7,2362.1
95,0151-ontov,1,f,0,0,0,1,1,0,fiber optic,0,0,0,0,0,0,month,0,mailed check,70.9,70.9
96,0154-qyhju,,m,0,0,0,29,1,0,dsl,1,1,0,1,0,0,one year,1,electronic check,58.75,1696.2
97,0156-fvpta,1,m,0,1,0,22,1,0,dsl,1,0,0,1,0,0,month,1,electronic check,54.2,1152.7
98,0162-rzgmz,,f,1,0,0,5,1,0,dsl,1,1,0,1,0,0,month,0,credit card (automatic),59.9,287.85
99,0164-apgrb,0,f,0,0,0,72,1,1,fiber optic,1,1,1,1,1,1,two year,1,electronic check,114.9,8496.7
100,0164-xairp,0,f,0,0,0,24,1,0,no,0,0,0,0,0,0,two year,1,bank transfer (automatic),19.55,470.2
101,0168-xzkbb,0,f,0,1,0,19,1,1,fiber optic,0,0,0,0,1,0,month,1,electronic check,86.85,1564.4
102,0174-qrvvy,0,m,0,1,1,71,1,1,no,0,0,0,0,0,0,two year,0,credit card (automatic),25.35,1847.55
103,0177-pxbat,0,m,1,1,0,33,1,1,fiber optic,1,0,1,1,1,1,month,1,bank transfer (automatic),109.9,3694.7
104,0178-ciikr,0,f,0,0,0,3,1,0,no,0,0,0,0,0,0,month,0,mailed check,19.95,58.0
105,0178-szbho,0,m,0,1,1,47,1,1,fiber optic,0,1,0,0,1,0,month,0,electronic check,87.2,4017.45
106,0181-ritdd,0,m,0,1,1,62,1,0,fiber optic,1,1,1,1,1,1,two year,0,mailed check,108.15,6825.65
107,0186-caerr,0,m,0,0,0,71,1,1,fiber optic,1,1,1,1,1,1,one year,1,bank transfer (automatic),116.3,8309.55
108,0187-qsxoe,0,m,1,1,0,7,1,0,fiber optic,0,0,0,0,1,1,month,1,electronic check,89.0,605.45
109,0187-wznab,0,f,0,1,1,27,1,0,fiber optic,1,0,0,0,0,0,month,0,mailed check,74.4,1972.35
110,0188-gwfle,0,m,0,0,0,2,1,0,no,0,0,0,0,0,0,month,0,mailed check,20.05,33.7
111,0191-equuh,0,f,0,0,1,25,0,0,dsl,1,0,0,1,0,0,two year,0,bank transfer (automatic),35.05,844.45
112,0191-zhskz,0,m,1,0,0,30,1,0,dsl,1,1,0,0,1,1,month,1,electronic check,74.75,2111.3
113,0193-eszxp,1,f,1,1,0,58,1,0,fiber optic,1,1,0,1,1,1,one year,1,credit card (automatic),105.5,6205.5
114,0195-iescp,1,m,0,1,0,10,1,1,fiber optic,0,0,0,0,0,1,month,1,electronic check,85.25,855.3
115,0196-jtuqi,0,f,0,0,0,9,1,1,fiber optic,0,0,0,0,0,0,month,1,credit card (automatic),75.2,633.85
116,0196-vulgz,1,f,1,1,0,6,1,1,fiber optic,0,0,0,0,0,1,month,1,electronic check,84.35,474.9
117,0197-pnknk,0,f,0,1,1,69,1,1,fiber optic,1,0,1,0,0,0,one year,0,bank transfer (automatic),84.45,5848.6
118,0201-mibol,0,f,1,0,0,66,1,1,fiber optic,1,0,0,0,1,1,two year,1,bank transfer (automatic),102.4,6471.85
119,0201-oamxr,1,f,0,0,0,70,1,1,fiber optic,1,1,1,1,1,1,one year,0,credit card (automatic),115.55,8127.6
120,0203-hhyij,1,m,0,0,0,25,1,1,no,0,0,0,0,0,0,one year,0,bank transfer (automatic),25.3,676.35
121,0206-oyvoc,0,f,0,1,1,46,1,0,no,0,0,0,0,0,0,two year,1,mailed check,19.25,864.2
122,0206-tbwlc,0,f,0,1,0,54,1,1,fiber optic,1,1,1,1,1,1,one year,1,mailed check,114.65,6049.5
123,0207-mdknv,1,f,0,0,0,15,1,0,fiber optic,1,0,1,1,1,1,month,0,electronic check,105.1,1582.75
124,0208-bpqej,0,f,0,1,1,12,1,0,no,0,0,0,0,0,0,month,0,bank transfer (automatic),19.4,198.1
125,0212-isbbf,0,f,0,0,0,22,0,0,dsl,0,1,0,0,1,1,month,1,electronic check,50.35,1098.85
126,0214-jhpfw,0,f,0,1,0,70,0,0,dsl,0,1,1,1,1,1,two year,0,bank transfer (automatic),57.8,4039.3
127,0215-bqkgs,0,m,0,0,0,30,1,0,fiber optic,1,1,1,0,0,0,month,1,credit card (automatic),84.3,2438.6
128,0218-qnvas,0,m,0,1,1,71,1,1,fiber optic,0,1,0,0,1,1,one year,0,bank transfer (automatic),100.55,7113.75
129,0219-qaerp,0,m,0,1,0,30,1,0,no,0,0,0,0,0,0,one year,0,credit card (automatic),19.8,576.65
130,0219-ytzue,1,m,0,1,1,4,1,1,fiber optic,0,1,1,0,0,0,month,1,bank transfer (automatic),84.8,371.9
131,0220-ebgce,1,m,0,0,0,2,1,0,fiber optic,0,0,1,0,0,1,month,1,electronic check,85.85,167.3
132,0221-nauxk,0,m,0,0,1,10,1,0,no,0,0,0,0,0,0,one year,1,bank transfer (automatic),19.95,219.5
133,0221-wmxnq,0,m,1,0,0,4,1,0,fiber optic,1,0,0,0,0,0,month,0,electronic check,75.35,273.4
134,0222-cnvpt,0,m,1,0,0,52,0,0,dsl,1,0,0,0,1,1,month,1,credit card (automatic),48.8,2555.05
135,0224-hjapt,1,m,0,0,0,5,1,1,dsl,0,0,0,0,0,0,month,0,electronic check,47.15,223.15
136,0224-nijlp,0,m,0,1,1,8,1,0,no,0,0,0,0,0,0,two year,0,mailed check,20.15,165.5
137,0224-rlwwd,0,f,1,0,0,2,1,0,dsl,0,0,0,0,0,0,month,1,electronic check,44.3,89.3
138,0225-zorzp,0,m,0,0,0,3,1,0,fiber optic,0,1,0,0,0,1,month,0,electronic check,84.3,235.05
139,0228-mauwc,0,m,0,0,0,19,1,1,dsl,0,0,1,1,0,0,month,0,electronic check,59.55,1144.6
140,0229-lfjaf,0,m,0,0,0,72,1,1,dsl,1,1,1,1,0,0,two year,0,bank transfer (automatic),69.65,4908.25
141,0230-ubypq,0,m,1,1,0,63,0,0,dsl,1,0,0,1,0,0,one year,0,bank transfer (automatic),36.1,2298.9
142,0230-wequw,0,m,0,1,0,66,0,0,dsl,1,1,1,1,1,0,two year,1,bank transfer (automatic),56.6,3789.2
143,0231-lxvap,1,m,0,0,0,1,1,0,fiber optic,0,0,0,1,0,0,month,1,electronic check,75.9,75.9
144,0233-fthav,0,f,0,0,0,60,1,1,fiber optic,0,0,1,0,0,0,one year,1,bank transfer (automatic),79.2,4765.0
145,0234-tevtt,0,f,0,1,1,48,0,0,dsl,1,0,1,0,0,1,one year,0,credit card (automatic),45.0,2196.3
146,0235-kgslc,1,f,0,0,0,1,1,0,fiber optic,0,0,1,0,1,0,month,1,credit card (automatic),85.55,85.55
147,0236-hfwsv,1,m,0,0,0,15,1,1,fiber optic,0,0,0,0,1,1,month,1,electronic check,93.35,1444.65
148,0237-yfutl,0,f,0,1,0,50,1,1,fiber optic,1,1,0,1,1,1,month,1,bank transfer (automatic),109.65,5405.8
149,0238-whbiq,0,m,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two year,0,credit card (automatic),89.7,6339.3
150,0239-oxexl,0,f,0,0,0,46,1,1,fiber optic,1,1,0,0,0,0,month,0,mailed check,84.25,3847.6
151,0244-lgnfy,0,f,0,1,1,72,1,1,dsl,1,1,1,1,1,1,two year,0,bank transfer (automatic),92.65,6733.0
152,0247-sluji,0,m,0,1,1,1,1,0,no,0,0,0,0,0,0,month,0,mailed check,19.7,19.7
153,0248-ipdfw,0,f,0,0,0,1,1,1,dsl,0,0,0,0,0,0,month,1,electronic check,50.1,50.1
154,0248-pghbz,0,f,1,0,0,67,1,0,fiber optic,1,1,0,1,1,0,two year,1,bank transfer (automatic),92.45,6140.85
155,0253-zteob,0,f,0,1,1,48,1,1,dsl,0,1,0,1,1,1,two year,0,electronic check,79.65,3870.3
156,0254-fnmci,0,f,0,0,0,72,1,0,fiber optic,1,1,1,1,1,1,two year,1,electronic check,109.9,7624.2
157,0254-kcjgt,0,m,0,1,0,52,1,1,dsl,1,1,1,1,0,1,one year,1,credit card (automatic),81.4,4354.45
158,0254-wwrkd,0,f,0,1,1,67,1,0,dsl,0,1,0,0,0,0,one year,0,credit card (automatic),50.55,3431.75
159,0256-lthvj,1,f,0,1,1,28,1,0,fiber optic,0,0,0,0,0,1,month,1,electronic check,81.05,2227.1
160,0257-kxzgu,0,f,0,1,1,32,1,1,dsl,0,1,1,0,0,0,month,0,bank transfer (automatic),62.45,2045.55
161,0257-zesqc,1,f,1,1,0,27,1,0,fiber optic,1,0,0,0,0,0,month,1,bank transfer (automatic),75.2,1929.35
162,0258-nokbl,0,m,0,0,0,3,1,0,fiber optic,0,1,1,0,0,1,month,0,electronic check,90.4,268.45
163,0259-gbzsh,1,m,0,0,0,2,1,1,fiber optic,0,0,0,0,1,0,month,1,electronic check,85.65,181.5
164,0260-zdlgk,1,f,0,0,1,9,1,0,dsl,0,0,1,1,1,1,month,1,mailed check,72.9,651.4
165,0263-fjtqo,0,m,0,1,1,50,1,1,dsl,1,0,0,1,1,0,two year,1,credit card (automatic),70.5,3486.65
166,0264-cnitk,0,f,0,1,1,71,1,0,no,0,0,0,0,0,0,two year,0,bank transfer (automatic),20.1,1389.6
167,0265-edxbd,1,m,1,1,0,32,1,1,fiber optic,0,0,0,0,0,0,month,1,electronic check,74.9,2303.35
168,0265-psuae,0,f,0,1,1,16,1,0,fiber optic,1,0,1,0,1,1,month,0,bank transfer (automatic),100.7,1522.7
169,0266-clzkz,0,f,0,1,1,67,1,1,fiber optic,0,0,1,1,1,1,two year,1,bank transfer (automatic),105.65,6717.9
170,0266-gmeao,0,m,0,1,1,72,1,1,fiber optic,1,1,1,1,1,1,two year,1,credit card (automatic),114.3,8058.55
171,0268-qkiwo,1,f,0,0,0,3,1,0,no,0,0,0,0,0,0,month,0,electronic check,19.75,58.85
172,0269-xfesx,0,m,0,1,1,23,1,1,no,0,0,0,0,0,0,one year,0,mailed check,24.35,538.5
173,0270-thenm,0,m,0,1,1,72,1,1,dsl,1,1,1,1,0,0,two year,0,bank transfer (automatic),69.85,5102.35
174,0274-jkujr,0,m,0,1,1,7,0,0,dsl,1,1,1,0,1,1,month,0,mailed check,58.85,465.7
175,0274-vvqoq,,m,1,1,0,65,1,1,fiber optic,0,1,1,0,1,1,one year,1,bank transfer (automatic),103.15,6792.45
176,0277-bksqp,0,m,0,1,1,8,1,0,dsl,0,0,0,0,1,0,month,1,electronic check,54.4,475.1
177,0277-orxqs,0,m,0,1,1,66,0,0,dsl,0,0,0,1,1,1,two year,0,bank transfer (automatic),50.55,3364.55
178,0278-yxoog,1,m,0,0,0,5,1,0,no,0,0,0,0,0,0,month,0,mailed check,21.05,113.85
179,0280-xjgex,1,m,0,0,0,49,1,1,fiber optic,0,1,1,0,1,1,month,1,bank transfer (automatic),103.7,5036.3
180,0281-cntzx,0,m,0,1,0,63,1,0,no,0,0,0,0,0,0,two year,1,bank transfer (automatic),19.95,1234.8
181,0282-nvsjs,0,f,1,1,1,12,0,0,dsl,0,0,0,1,0,0,month,1,mailed check,29.3,355.9
182,0285-inhln,0,m,0,1,1,27,1,0,dsl,1,1,0,0,0,0,month,1,credit card (automatic),54.75,1510.3
183,0289-ivarm,0,f,0,0,0,35,1,0,dsl,1,1,1,0,0,0,month,0,electronic check,60.55,1982.6
184,0292-wegch,0,f,0,1,1,54,1,1,dsl,0,1,1,1,1,1,month,1,electronic check,86.2,4524.05
185,0295-pphdo,1,m,0,0,0,1,1,1,fiber optic,0,0,0,0,1,1,month,1,electronic check,95.45,95.45
186,0295-qvkpb,0,m,0,0,0,5,1,0,dsl,0,0,1,1,1,0,month,1,credit card (automatic),63.95,318.1
187,0297-rbcsg,0,m,0,0,0,19,1,0,dsl,0,1,0,1,0,1,one year,1,bank transfer (automatic),65.35,1231.85
188,0298-xacet,0,m,0,1,1,52,0,0,dsl,0,1,1,1,1,0,two year,0,mailed check,50.2,2554.0
189,0301-fidrb,0,f,0,1,1,72,0,0,dsl,1,1,1,1,1,1,two year,1,bank transfer (automatic),63.8,4684.3
190,0301-kobtq,0,m,0,0,0,32,1,0,no,0,0,0,0,0,0,two year,1,bank transfer (automatic),20.05,614.45
191,0302-joivn,1,f,0,1,0,8,1,0,fiber optic,0,1,1,0,1,1,month,0,electronic check,101.15,842.9
192,0303-uncip,0,m,0,0,0,41,1,1,dsl,0,0,1,0,0,1,one year,0,mailed check,65.0,2531.8
193,0303-wmmrn,0,m,0,0,0,5,1,0,no,0,0,0,0,0,0,month,1,mailed check,19.25,86.05
194,0305-sqecb,0,f,0,0,1,11,0,0,dsl,1,0,0,1,0,0,one year,1,mailed check,36.05,402.6
195,0306-jaele,1,m,0,0,0,5,1,0,fiber optic,0,0,0,1,1,1,month,1,electronic check,96.1,453.4
196,0307-bcopk,0,f,0,0,0,16,1,0,no,0,0,0,0,0,0,one year,0,mailed check,19.05,326.65
197,0308-giqjt,0,m,1,0,0,71,1,1,fiber optic,0,1,0,1,1,1,one year,0,bank transfer (automatic),105.75,7382.85
198,0308-ivgok,0,f,0,0,0,11,0,0,dsl,0,1,1,1,0,0,one year,1,credit card (automatic),40.4,422.6
199,0310-mvlet,1,f,0,1,1,61,1,1,fiber optic,0,1,0,0,1,1,month,1,electronic check,99.15,6010.05
200,0310-sucin,0,f,0,1,0,71,1,0,dsl,1,1,1,1,1,1,one year,1,bank transfer (automatic),84.8,6046.1
201,0310-vqxam,0,m,0,0,0,9,1,0,no,0,0,0,0,0,0,month,0,mailed check,19.85,178.8
202,0311-qywss,0,f,0,0,0,6,1,0,dsl,1,0,0,0,0,0,month,1,electronic check,49.45,314.6
203,0311-unpff,1,f,0,0,0,26,1,0,fiber optic,0,0,0,0,1,1,month,1,bank transfer (automatic),88.8,2274.35
204,0314-tkosi,0,f,0,0,0,6,1,0,dsl,1,1,0,0,0,0,month,0,mailed check,55.15,322.9
205,0315-lvcrk,0,m,0,0,0,11,1,0,fiber optic,0,0,1,0,0,1,month,0,electronic check,84.8,888.75
206,0318-quuob,1,m,0,1,0,1,1,0,fiber optic,0,0,0,0,1,0,month,1,electronic check,80.55,80.55
207,0318-zopws,0,f,0,1,0,49,1,0,no,0,0,0,0,0,0,two year,1,bank transfer (automatic),20.15,973.35
208,0319-qztco,0,f,0,1,1,3,1,0,dsl,0,1,0,0,1,0,month,1,credit card (automatic),58.7,168.6
209,0320-dwvtu,0,f,0,0,0,53,1,0,fiber optic,1,1,1,1,0,1,two year,0,mailed check,99.5,5424.25
210,0320-jdnqg,1,m,0,1,1,23,1,0,fiber optic,1,0,0,1,1,1,month,1,electronic check,99.85,2331.3
211,0322-chqru,1,m,0,0,0,2,1,0,dsl,0,0,0,0,0,0,month,0,electronic check,45.35,89.5
212,0322-yinqp,1,m,0,0,0,1,1,0,dsl,1,0,0,0,0,0,month,1,mailed check,48.55,48.55
213,0323-xwwtn,0,m,0,0,1,3,1,1,no,0,0,0,0,0,0,two year,1,mailed check,26.4,121.25
214,0324-brpcj,1,f,1,1,0,68,1,1,fiber optic,0,1,0,0,1,1,month,1,electronic check,100.2,6851.65
215,0325-xbfac,1,m,0,0,0,8,1,0,fiber optic,0,0,1,0,1,1,month,1,electronic check,94.7,740.3
216,0326-vdyxe,0,f,0,1,0,70,1,1,fiber optic,0,0,1,0,1,1,one year,1,electronic check,97.65,6982.5
